   59    0           3216             sigma(1775)0
   59    2           3226             sigma(1775)+
   60   -2          13116             sigma(1915)-
   60    0          13216             sigma(1915)0
   60    2          13226             sigma(1915)+
   61   -2          23114             sigma(1940)-
   61    0          23214             sigma(1940)0
   61    2          23224             sigma(1940)+
   62   -2           3118             sigma(2030)-
   62    0           3218             sigma(2030)0
   62    2           3228             sigma(2030)+
   63   -1           3312                      xi-
   63    1           3322                      xi0
   64   -1           3314                xi(1530)-
   64    1           3324                xi(1530)0
   65   -1          23314                xi(1690)-
   65    1          23324                xi(1690)0
   66   -1          13314                xi(1820)-
   66    1          13324                xi(1820)0
   67   -1          33314                xi(1950)-
   67    1          33324                xi(1950)0
   68   -1          13316                xi(2030)-
   68    1          13326                xi(2030)0
   69    0           3334                   omega-
   70    0           4122                lambda_c+
  100    0             22                    gamma
  101   -2           -211                      pi-
  101    0            111                      pi0
  101    2            211                      pi+
  102    0            221                      eta
  103    0            223                    omega
  104   -2           -213                     rho-
  104    0            113                     rho0
  104    2            213                     rho+
  105    0        9010221                  f0(980)
  106   -1            311                    kaon0
  106    1            321                    kaon+
  107    0            331                eta_prime
  108   -1            313                  k_star0
  108    1            323                  k_star+
  109    0            333                      phi
  110   -1          10311           k0_star(1430)0
  110    1          10321           k0_star(1430)+
  111   -2         -10211                a0(1450)-
  111    0          10111                a0(1450)0
  111    2          10211                a0(1450)+
  112    0          10221                 f0(1370)
  113   -1          10313                k1(1270)0
  113    1          10323                k1(1270)+
  114   -2         -20213                a1(1260)-
  114    0          20113                a1(1260)0
  114    2          20213                a1(1260)+
  115    0          20223                 f1(1285)
  116    0        9000223                 f1(1510)
  117   -1            315           k2_star(1430)0
  117    1            325           k2_star(1430)+
  118   -2           -215                a2(1320)-
  118    0            115                a2(1320)0
  118    2            215                a2(1320)+
  119    0            225                 f2(1270)
  120    0            335           f2_prime(1525)
  121   -1          20313                k1(1400)0
  121    1          20323                k1(1400)+
  122   -2         -10213                b1(1235)-
  122    0          10113                b1(1235)0
  122    2          10213                b1(1235)+
  123    0          10223                 h1(1170)
  124    0          10333                 h1(1380)
  125   -1         100313            k_star(1410)0
  125    1         100323            k_star(1410)+
  126   -2        -100213               rho(1450)-
  126    0         100113               rho(1450)0
  126    2         100213               rho(1450)+
  127    0         100223              omega(1420)
  128    0         100333                phi(1680)
  129   -1          30313            k_star(1680)0
  129    1          30323            k_star(1680)+
  130   -2         -30213               rho(1700)-
  130    0          30113               rho(1700)0
  130    2          30213               rho(1700)+
  131    0          30223              omega(1650)
  132    0            337                phi(1850)
  133   -1            421                       D0
  133    1            411                       D+
  134   -1          10421                D*(2400)0
  134    1          10411                D*(2400)+
  135    0            443                    J/psi
  136    0          10441                   Chi_c0
  137    0         100443                Psi_prime
  138    0            431                      Ds+
  139    0            433                     Ds*+
  200    0     1000010020                 Deuteron
  201   -1     1000010030                   Triton
  202    1     1000020030                  Helium3
  203    0     1000020040                  Helium4
  211    0     1010010030              Hypertriton
  213   -1     1010010040                 Hyper???
  220    0     1020000020               H-dibaryon
  221    0     1020000021              Xi-dibaryon
  222    0     1020000030             Xi-tribaryon
